Match A,Match B,Type,Topic,Meme
1800.01.13_CaledonianMercury_0001,1800.01.04_JacksonsOxfordJournal_0002,,,
1800.01.13_CaledonianMercury_0001,1800.01.09_DerbyMercury_0003,,,
1800.01.13_CaledonianMercury_0003,1800.01.11_JacksonsOxfordJournal_0002,,,
1800.01.13_PortsmouthTelegraph_0002,1800.01.09_CaledonianMercury_0002,,,
1800.01.13_PortsmouthTelegraph_0002,1800.01.09_DerbyMercury_0004,,,
1800.01.13_PortsmouthTelegraph_0002,1800.01.09_TrewmansExeterFlyingPost_0002,,,
1800.01.13_PortsmouthTelegraph_0002,1800.01.11_IpswichJournal_0004,,,
1800.01.13_PortsmouthTelegraph_0002,1800.01.11_JacksonsOxfordJournal_0001,,,
1800.01.14_HullPacket_0001,1800.01.04_JacksonsOxfordJournal_0002,,,
1800.01.14_HullPacket_0001,1800.01.06_CaledonianMercury_0003,,,
1800.01.14_HullPacket_0001,1800.01.09_DerbyMercury_0003,,,
1800.01.14_HullPacket_0001,1800.01.11_CaledonianMercury_0002,,,
1800.01.14_HullPacket_0001,1800.01.11_IpswichJournal_0001,,,
1800.01.14_HullPacket_0001,1800.01.11_JacksonsOxfordJournal_0002,,,
1800.01.14_HullPacket_0001,1800.01.13_CaledonianMercury_0001,,,
1800.01.14_HullPacket_0004,1800.01.09_CaledonianMercury_0002,,,
1800.01.14_HullPacket_0004,1800.01.09_DerbyMercury_0004,,,
1800.01.14_HullPacket_0004,1800.01.09_TrewmansExeterFlyingPost_0002,,,
1800.01.14_HullPacket_0004,1800.01.11_IpswichJournal_0004,,,
1800.01.14_HullPacket_0004,1800.01.11_JacksonsOxfordJournal_0001,,,
1800.01.14_HullPacket_0004,1800.01.13_AberdeenJournal_0004,,,
1800.01.14_HullPacket_0004,1800.01.13_PortsmouthTelegraph_0002,,,
1800.01.16_CaledonianMercury_0002,1800.01.14_HullPacket_0002,,,
1800.01.16_DerbyMercury_0002,1800.01.14_HullPacket_0002,,,
1800.01.16_DerbyMercury_0002,1800.01.16_CaledonianMercury_0002,,,
1800.01.16_DerbyMercury_0003,1800.01.04_JacksonsOxfordJournal_0002,,,
1800.01.16_DerbyMercury_0003,1800.01.06_CaledonianMercury_0003,,,
1800.01.16_DerbyMercury_0003,1800.01.11_IpswichJournal_0001,,,
1800.01.16_DerbyMercury_0003,1800.01.13_AberdeenJournal_0003,,,
1800.01.16_DerbyMercury_0003,1800.01.13_CaledonianMercury_0001,,,
1800.01.16_DerbyMercury_0003,1800.01.14_HullPacket_0001,,,
1800.01.16_TrewmansExeterFlyingPost_0004,1800.01.02_DerbyMercury_0002,,,
1800.01.16_TrewmansExeterFlyingPost_0004,1800.01.04_CaledonianMercury_0001,,,
1800.01.16_TrewmansExeterFlyingPost_0004,1800.01.04_JacksonsOxfordJournal_0002,,,
1800.01.16_TrewmansExeterFlyingPost_0004,1800.01.06_CaledonianMercury_0003,,,
1800.01.16_TrewmansExeterFlyingPost_0004,1800.01.07_HullPacket_0001,,,
1800.01.16_TrewmansExeterFlyingPost_0004,1800.01.09_DerbyMercury_0003,,,
1800.01.16_TrewmansExeterFlyingPost_0004,1800.01.11_IpswichJournal_0001,,,
1800.01.16_TrewmansExeterFlyingPost_0004,1800.01.11_JacksonsOxfordJournal_0001,,,
1800.01.16_TrewmansExeterFlyingPost_0004,1800.01.13_AberdeenJournal_0001,,,
